Model,Parameters,Layers,Residual Blocks,Conv Layers,Dense Layers,Bottlenecks,Pooling Layers,Normalization Layers,Recurrent Layers,Output Features,Training Dataset,RF25 Layer Number,RF25 Layer Name,Architecture,Crop Percentage,Family
repvgg_b1,57415016,474,0,56,1,0,0,79,0,1000,ImageNet-1K,29,stages.2.3.conv_kxk.conv,repvgg_b1,0.875,vgg
repvgg_b1g4,39966056,474,0,56,1,0,0,79,0,1000,ImageNet-1K,29,stages.2.3.conv_kxk.conv,repvgg_b1g4,0.875,vgg
repvgg_b2,89022376,474,0,56,1,0,0,79,0,1000,ImageNet-1K,29,stages.2.3.conv_kxk.conv,repvgg_b2,0.875,vgg
repvgg_b2g4,61758376,474,0,56,1,0,0,79,0,1000,ImageNet-1K,29,stages.2.3.conv_kxk.conv,repvgg_b2g4,0.875,vgg
repvgg_b3,123085288,474,0,56,1,0,0,79,0,1000,ImageNet-1K,29,stages.2.3.conv_kxk.conv,repvgg_b3,0.875,vgg
repvgg_b3g4,83825128,474,0,56,1,0,0,79,0,1000,ImageNet-1K,29,stages.2.3.conv_kxk.conv,repvgg_b3g4,0.875,vgg
res2net50_14w_8s,25059816,381,0,149,1,0,5,149,0,1000,ImageNet-1K,136,layer4.1.convs.2,res2net50_14w_8s,0.875,res2net
res2net50_26w_4s,25699120,253,0,85,1,0,5,85,0,1000,ImageNet-1K,74,layer4.0.convs.2,res2net50_26w_4s,0.875,res2net
res2net50_26w_6s,37051448,317,0,117,1,0,5,117,0,1000,ImageNet-1K,107,layer4.1.convs.1,res2net50_26w_6s,0.875,res2net
res2net50_26w_8s,48403776,381,0,149,1,0,5,149,0,1000,ImageNet-1K,136,layer4.1.convs.2,res2net50_26w_8s,0.875,res2net
res2net50_48w_2s,25287304,189,0,53,1,0,5,53,0,1000,ImageNet-1K,34,layer3.2.convs.0,res2net50_48w_2s,0.875,res2net
res2net101_26w_4s,45206688,491,0,170,1,0,5,170,0,1000,ImageNet-1K,113,layer3.14.convs.1,res2net101_26w_4s,0.875,res2net
res2next50,24671464,253,0,85,1,0,5,85,0,1000,ImageNet-1K,74,layer4.0.convs.2,res2next50,0.875,res2next
resmlp_12_224,15350872,139,0,1,37,0,0,0,0,1000,ImageNet-1K,1,stem.proj,resmlp_12_224,0.875,resmlp
resmlp_12_224_dino,15350872,139,0,1,37,0,0,0,0,1000,ImageNet-1K,1,stem.proj,resmlp_12_224_dino,0.875,resmlp
resmlp_12_distilled_224,15350872,139,0,1,37,0,0,0,0,1000,ImageNet-1K,1,stem.proj,resmlp_12_distilled_224,0.875,resmlp
resmlp_24_224,30020680,271,0,1,73,0,0,0,0,1000,ImageNet-1K,1,stem.proj,resmlp_24_224,0.875,resmlp
resmlp_24_224_dino,30020680,271,0,1,73,0,0,0,0,1000,ImageNet-1K,1,stem.proj,resmlp_24_224_dino,0.875,resmlp
resmlp_24_distilled_224,30020680,271,0,1,73,0,0,0,0,1000,ImageNet-1K,1,stem.proj,resmlp_24_distilled_224,0.875,resmlp
resmlp_36_224,44690488,403,0,1,109,0,0,0,0,1000,ImageNet-1K,1,stem.proj,resmlp_36_224,0.875,resmlp
resmlp_36_distilled_224,44690488,403,0,1,109,0,0,0,0,1000,ImageNet-1K,1,stem.proj,resmlp_36_distilled_224,0.875,resmlp
resmlp_big_24_224,129138280,271,0,1,73,0,0,0,0,1000,ImageNet-1K,1,stem.proj,resmlp_big_24_224,0.875,resmlp
resmlp_big_24_224_in22ft1k,129138280,271,0,1,73,0,0,0,0,1000,ImageNet-1K,1,stem.proj,resmlp_big_24_224_in22ft1k,0.875,resmlp
resmlp_big_24_distilled_224,129138280,271,0,1,73,0,0,0,0,1000,ImageNet-1K,1,stem.proj,resmlp_big_24_distilled_224,0.875,resmlp
resnest14d,10611688,119,0,27,1,4,7,23,0,1000,ImageNet-1K,3,conv1.6,resnest14d,0.875,resnest
resnest26d,17069448,199,0,47,1,8,7,39,0,1000,ImageNet-1K,6,layer1.0.conv2.conv,resnest26d,0.875,resnest
resnest50d,27483240,359,0,87,1,16,7,71,0,1000,ImageNet-1K,17,layer1.2.conv2.conv,resnest50d,0.875,resnest
resnest50d_1s4x24d,25677000,359,0,87,1,16,7,71,0,1000,ImageNet-1K,17,layer1.2.conv2.conv,resnest50d_1s4x24d,0.875,resnest
resnest50d_4s2x40d,30417592,359,0,87,1,16,7,71,0,1000,ImageNet-1K,17,layer1.2.conv2.conv,resnest50d_4s2x40d,0.875,resnest
