Last Layer Parameters,Layers,Attention Layers,Crop Percentage,Bottlenecks,Residual Blocks,Origin,First Layer Parameters,Family,Training Dataset,Pooling Layers,Normalization Layers,Output Features,Conv Layers,Recurrent Layers,Lowest Internal Layer Parameters,MAX RF,Architecture,Highest Internal Layer Parameters,Max RF,RF25 Layer Number,Model,Parameters,RF25 Layer Name,Dense Layers,Has Convolutional Layers,Has Residual Blocks,Has Dense Layers,Has Bottlenecks,Has Recurrent Layers,Has Skip Connections,Has Attention Layers,Tokenized,Transformer,Has ReLU,Has GeLU,Other,Year Made,Learning Type,Primary Application,Key Distinguishing Feature,Pooling Type
,0.1,,,,,tfhub,,vgg,COCO,,,512,,,,,,,,,vgg19-block1-conv2-unpooling-encoder,0.03872,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2014.0,Supervised,Image Classification,Deep Architecture with 11 Layers,Max
2049000.0,30.0,0.0,0.875,0.0,0.0,timm,928.0,inception_v3,ImageNet-1K,2.0,94.0,1000,94.0,0.0,5280.0,,adv_inception_v3,6076800.0,,,adv_inception_v3,23.834568,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,Image Classification,"Label Smoothing, Factorized Convolutions","Max, Average"
2049000.0,41.4,0.0,0.9,8.0,0.0,timm,26232.0,resnext,ImageNet-1K,1.0,63.0,1000,79.0,0.0,8619456.0,,bat_resnext26ts,8619456.0,,,bat_resnext26ts,10.7312,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,Image Classification,Grouped Convolutions,"Max, Average"
769000.0,18.9,12.0,0.9,0.0,0.0,timm,590592.0,beit,ImageNet-1K,0.0,25.0,1000,1.0,0.0,1536.0,,beit_base_patch16_224,85026816.0,,,beit_base_patch16_224,86.530984,,49.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Self-supervised Learning for Images,Average
769000.0,18.9,12.0,1.0,0.0,0.0,timm,590592.0,beit,ImageNet-1K,0.0,25.0,1000,1.0,0.0,1536.0,,beit_base_patch16_384,85026816.0,,,beit_base_patch16_384,86.744104,,49.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Self-supervised Learning for Images,Average
1025000.0,36.9,24.0,0.9,0.0,0.0,timm,787456.0,beit,ImageNet-1K,0.0,49.0,1000,1.0,0.0,2048.0,,beit_large_patch16_224,302235648.0,,,beit_large_patch16_224,304.430568,,97.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Self-supervised Learning for Images,Average
1025000.0,36.9,24.0,1.0,0.0,0.0,timm,787456.0,beit,ImageNet-1K,0.0,49.0,1000,1.0,0.0,2048.0,,beit_large_patch16_384,302235648.0,,,beit_large_patch16_384,304.998888,,97.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Self-supervised Learning for Images,Average
1025000.0,36.9,24.0,1.0,0.0,0.0,timm,787456.0,beit,ImageNet-1K,0.0,49.0,1000,1.0,0.0,2048.0,,beit_large_patch16_512,302235648.0,,,beit_large_patch16_512,305.674728,,97.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Self-supervised Learning for Images,Average
769000.0,18.9,12.0,0.9,0.0,0.0,timm,590592.0,beitv2,ImageNet-1K,0.0,25.0,1000,1.0,0.0,1536.0,,beitv2_base_patch16_224,85026816.0,,,beitv2_base_patch16_224,86.530984,,49.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Improvements in Self-Supervised Learning,Class Token
1025000.0,36.9,24.0,0.95,0.0,0.0,timm,787456.0,beitv2,ImageNet-1K,0.0,49.0,1000,1.0,0.0,2048.0,,beitv2_large_patch16_224,302235648.0,,,beitv2_large_patch16_224,304.430568,,97.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Improvements in Self-Supervised Learning,Class Token
2049000.0,22.2,0.0,0.95,8.0,0.0,timm,26232.0,botnet,ImageNet-1K,2.0,31.0,1000,31.0,0.0,10382720.0,,botnet26t_256,10382720.0,,,botnet26t_256,12.488672,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,2021.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Transformer Blocks in ResNet,Average
769000.0,65.5,0.0,1.0,0.0,0.0,timm,590592.0,cait,ImageNet-1K,0.0,77.0,1000,1.0,0.0,1536.0,,cait_m36_384,255182976.0,,,cait_m36_384,271.221352,,229.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2021.0,Supervised,"Image Classification, Image Segmentation",Class Attention Mechanism,Average
